,well_id,model_name,accuracy_score,recall_score,f1_score,precision_score
0,226003330.0,iforest_an,0.9312312312312312,0.6984732824427481,0.6151260504201681,0.5495495495495496
1,226003330.0,abod_an,0.885985985985986,0.410941475826972,0.3619047619047619,0.3233233233233233
2,226003330.0,cluster_an,0.9117117117117117,0.5559796437659033,0.4977220956719818,0.4505154639175258
3,226003330.0,cof_an,0.840940940940941,0.12468193384223919,0.10980392156862744,0.0980980980980981
4,226003330.0,histogram_an,0.9288288288288288,0.683206106870229,0.6016806722689075,0.5375375375375375
5,226003330.0,knn_an,0.9224224224224224,0.6424936386768448,0.5658263305322129,0.5055055055055055
6,226003330.0,lof_an,0.915015015015015,0.5954198473282443,0.5243697478991596,0.46846846846846846
7,226003330.0,svm_an,0.9294294294294294,0.6870229007633588,0.6050420168067228,0.5405405405405406
8,226003330.0,pca_an,0.9396396396396396,0.7519083969465649,0.6621848739495798,0.5915915915915916
9,226003330.0,mcd_an,0.9466466466466467,0.7964376590330788,0.7014005602240896,0.6266266266266266
10,226003330.0,sod_an,0.9026026026026026,0.5165394402035624,0.4549019607843138,0.4064064064064064
0,226003074.0,iforest_an,0.92305282940071,0.7232323232323232,0.4927735719201652,0.3736951983298539
1,226003074.0,abod_an,0.8522656086865734,0.03838383838383838,0.02615278733654508,0.019832985386221295
2,226003074.0,cluster_an,0.8719983295051159,0.21414141414141413,0.1474269819193324,0.11240721102863202
3,226003074.0,cof_an,0.8952808519523909,0.45454545454545453,0.3097040605643497,0.2348643006263048
4,226003074.0,histogram_an,0.9314053038212571,0.804040404040404,0.5478320715760495,0.4154488517745303
5,226003074.0,knn_an,0.9370432240551263,0.8585858585858586,0.5849965588437716,0.44363256784968685
6,226003074.0,lof_an,0.8654207558989351,0.16565656565656567,0.11286992429456297,0.08559498956158663
7,226003074.0,svm_an,0.9136562956775944,0.6323232323232323,0.43083275980729524,0.3267223382045929
8,226003074.0,pca_an,0.9324493631238254,0.8141414141414142,0.5547143840330351,0.42066805845511485
